feature,importance
cp,0.18682285216410377
oldpeak,0.09402657472210828
exang,0.08521003844681069
thalach,0.07144967591592506
max_hr_target,0.06843849174158322
hr_percentage,0.06797290223191632
sex,0.06288340711841924
age,0.06240275756738254
chol,0.05238935832455775
trestbps,0.03579602430308559
thal,0.03389651009370799
significant_st_depression,0.02645311574485966
ca,0.020586220810714387
restecg,0.017957937123331772
cardiovascular_risk,0.01613547895785277
slope,0.015652810309011812
fbs,0.01498584961987432
chol_risk,0.014189523104308011
bp_risk,0.012964825718022011
age_group,0.012882439388545813
low_hr,0.006798392327441813
multi_vessel,0.005960370360419735
high_cholesterol,0.005564557474894791
hypertension,0.00436734406256426
age_over_50,0.00421254236855841
